epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,12361.7,1.38625,1.15125,2.2288,0.79042,0.75968,0.81157,0.68747,1.38606,1.62815,2.37143,0.0027235,0.0027235,0.0027235
149,12444.7,1.37497,1.14364,2.22209,0.81211,0.76279,0.81788,0.69459,1.35842,1.61336,2.33644,0.002674,0.002674,0.002674
150,12527.7,1.34786,1.12455,2.21258,0.81548,0.7618,0.81591,0.69378,1.35066,1.59426,2.33937,0.0026245,0.0026245,0.0026245
151,12609.4,1.36591,1.12048,2.21546,0.80052,0.77471,0.81806,0.69318,1.35407,1.58362,2.34497,0.002575,0.002575,0.002575
152,12691.6,1.37447,1.15137,2.23285,0.79129,0.76048,0.8098,0.69556,1.32977,1.62248,2.32494,0.0025255,0.0025255,0.0025255
153,12772.9,1.37164,1.16351,2.21823,0.82623,0.74243,0.80774,0.69011,1.32628,1.63745,2.31204,0.002476,0.002476,0.002476
154,12854.6,1.37213,1.12773,2.22379,0.81756,0.74423,0.81253,0.69481,1.32623,1.6313,2.32342,0.0024265,0.0024265,0.0024265
155,12935.5,1.38887,1.13338,2.23137,0.8287,0.73881,0.80735,0.69065,1.33337,1.65545,2.31437,0.002377,0.002377,0.002377
156,13019.6,1.32265,1.10708,2.18243,0.81045,0.72773,0.80987,0.69661,1.34846,1.65727,2.31665,0.0023275,0.0023275,0.0023275
157,13103.8,1.33947,1.10995,2.2046,0.78557,0.74315,0.80192,0.68521,1.35876,1.68982,2.32331,0.002278,0.002278,0.002278
158,13186.6,1.33158,1.09954,2.20509,0.79294,0.7497,0.80189,0.68325,1.35935,1.69425,2.32059,0.0022285,0.0022285,0.0022285
159,13271,1.32824,1.08978,2.20054,0.77855,0.75728,0.80717,0.68523,1.3537,1.70363,2.31968,0.002179,0.002179,0.002179
160,13353.4,1.34786,1.10007,2.21054,0.81972,0.7296,0.80744,0.68353,1.36132,1.71854,2.33022,0.0021295,0.0021295,0.0021295
161,13436.9,1.33707,1.10456,2.19667,0.80868,0.73591,0.79469,0.67189,1.37011,1.73132,2.32557,0.00208,0.00208,0.00208
162,13518.2,1.31971,1.08783,2.19046,0.81087,0.7281,0.7955,0.67875,1.36243,1.74869,2.33211,0.0020305,0.0020305,0.0020305
163,13600.5,1.32251,1.05623,2.19484,0.8003,0.74523,0.79881,0.68403,1.36287,1.75426,2.33734,0.001981,0.001981,0.001981
164,13683.3,1.30379,1.0518,2.18332,0.8101,0.73807,0.79711,0.68404,1.35446,1.77244,2.33115,0.0019315,0.0019315,0.0019315
165,13764.9,1.32341,1.07233,2.19977,0.81344,0.73767,0.79898,0.68422,1.35113,1.77592,2.31418,0.001882,0.001882,0.001882
166,13847.3,1.30606,1.04015,2.19096,0.82446,0.72436,0.78966,0.67664,1.32811,1.77315,2.31802,0.0018325,0.0018325,0.0018325
167,13929.3,1.29594,1.05399,2.17519,0.82791,0.73849,0.8021,0.68804,1.31398,1.7626,2.31161,0.001783,0.001783,0.001783
168,14013.2,1.30978,1.0361,2.19133,0.8169,0.74432,0.8031,0.68617,1.31826,1.79517,2.30673,0.0017335,0.0017335,0.0017335
169,14095.7,1.31859,1.08526,2.19686,0.8174,0.75262,0.80318,0.68894,1.32733,1.76932,2.32332,0.001684,0.001684,0.001684
170,14179.8,1.30315,1.05361,2.18994,0.8215,0.74354,0.80032,0.68369,1.32535,1.77062,2.32093,0.0016345,0.0016345,0.0016345
171,14262.8,1.29788,1.05354,2.18057,0.82506,0.72432,0.79466,0.68113,1.32545,1.79398,2.32393,0.001585,0.001585,0.001585
172,14346.2,1.28407,1.02701,2.17452,0.7951,0.74347,0.79881,0.68757,1.32438,1.78424,2.32722,0.0015355,0.0015355,0.0015355
173,14429.4,1.30537,1.06053,2.18769,0.80085,0.73265,0.8037,0.68878,1.32403,1.80373,2.32647,0.001486,0.001486,0.001486
174,14512.7,1.2872,1.0298,2.17549,0.80984,0.74276,0.80322,0.68739,1.32516,1.81263,2.32486,0.0014365,0.0014365,0.0014365
175,14595.9,1.2853,1.04817,2.16632,0.80881,0.74147,0.79929,0.68656,1.32505,1.82316,2.33298,0.001387,0.001387,0.001387
176,14678.2,1.27503,1.01405,2.1632,0.8123,0.73137,0.79403,0.68441,1.33214,1.83359,2.34346,0.0013375,0.0013375,0.0013375
177,14760.2,1.28336,1.0266,2.16841,0.81837,0.7354,0.79368,0.68272,1.34015,1.83991,2.35106,0.001288,0.001288,0.001288
178,14841.5,1.27182,1.01665,2.16408,0.80637,0.72839,0.79116,0.68193,1.34494,1.85265,2.35578,0.0012385,0.0012385,0.0012385
179,14923.1,1.26784,1.02574,2.16844,0.80137,0.73681,0.79186,0.68088,1.34484,1.87212,2.34352,0.001189,0.001189,0.001189
180,15005.4,1.27783,1.03321,2.16561,0.79696,0.74662,0.79376,0.68127,1.35276,1.87142,2.34378,0.0011395,0.0011395,0.0011395
181,15086.6,1.28658,1.03175,2.17257,0.79965,0.74813,0.79088,0.67838,1.35555,1.87435,2.35168,0.00109,0.00109,0.00109
